title,type,release_year,runtime,genres,seasons,imdb_score,imdb_votes
Voltron: Legendary Defender,SHOW,2016,24,['action'; 'scifi'; 'animation'; 'comedy'; 'drama'; 'family'; 'fantasy'],8,8.1,8706
Transformers: Robots In Disguise,SHOW,2015,21,['scifi'; 'animation'; 'action'; 'comedy'],5,6,1048
The Young Messiah,MOVIE,2016,120,['drama'; 'fantasy'],0,5.6,3542
Crazyhead,SHOW,2016,43,['comedy'; 'horror'; 'scifi'; 'european'],1,7.2,4985
Lady Dynamite,SHOW,2016,30,['comedy'; 'drama'],2,7.3,3655
No Tomorrow,SHOW,2016,47,['comedy'; 'drama'; 'romance'; 'thriller'],1,7.3,5101
Marauders,MOVIE,2016,107,['thriller'; 'action'; 'crime'],0,5.5,21929
White Girl,MOVIE,2016,88,['drama'; 'horror'; 'crime'],0,5.7,10646
Greenleaf,SHOW,2016,42,['drama'],5,7.3,5158
Grizzy & the Lemmings,SHOW,2016,7,['comedy'; 'animation'; 'family'; 'european'],3,7.1,579
Our Brand Is Crisis,MOVIE,2015,108,['comedy'; 'drama'],0,6.1,22147
The Ridiculous 6,MOVIE,2015,119,['western'; 'action'; 'comedy'],0,4.8,47935
Special Correspondents,MOVIE,2016,100,['comedy'],0,5.8,23669
Jem and the Holograms,MOVIE,2015,119,['fantasy'; 'drama'; 'family'; 'music'; 'romance'; 'scifi'],0,4.1,7804
Mascots,MOVIE,2016,89,['comedy'],0,5.8,7381
Mindhorn,MOVIE,2016,89,['comedy'; 'thriller'],0,6.3,12474
The Do-Over,MOVIE,2016,108,['action'; 'comedy'],0,5.7,45146
Bo Burnham: Make Happy,MOVIE,2016,60,['comedy'; 'music'; 'documentation'],0,8.4,14356
7 Years,MOVIE,2016,77,['drama'; 'european'],0,6.7,4872
Zumbo's Just Desserts,SHOW,2016,52,['reality'],2,6.9,2125
The Letdown,SHOW,2016,30,['comedy'],2,7.5,3253
Case,SHOW,2015,46,['crime'; 'drama'; 'thriller'],1,7,2688
For the Love of Spock,MOVIE,2016,105,['documentation'],0,7.6,4349
Suffragette,MOVIE,2015,106,['drama'; 'history'],0,6.9,41529
The Girl King,MOVIE,2015,106,['drama'; 'european'; 'history'; 'romance'],0,5.8,4065
Boyka: Undisputed IV,MOVIE,2016,87,['drama'; 'european'],0,0,0
Dream/Killer,MOVIE,2015,107,['crime'; 'documentation'],0,7.4,1938
Sinatra: All or Nothing at All,SHOW,2015,122,['documentation'; 'music'],1,8,2354
Amanda Knox,MOVIE,2016,92,['crime'; 'documentation'; 'european'],0,6.9,23969
Tallulah,MOVIE,2016,111,['drama'; 'romance'; 'comedy'],0,6.7,20111
By the Sea,MOVIE,2015,122,['drama'; 'european'; 'romance'],0,5.3,20541
