title,type,release_year,runtime,genres,seasons,imdb_score,imdb_votes
Five Came Back: The Reference Films,SHOW,1945,48,['documentation'],1,0,0
Taxi Driver,MOVIE,1976,113,['crime'; 'drama'],0,8.3,795222
Monty Python and the Holy Grail,MOVIE,1975,91,['comedy'; 'fantasy'],0,8.2,530877
Life of Brian,MOVIE,1979,94,['comedy'],0,8,392419
The Exorcist,MOVIE,1973,133,['horror'],0,8.1,391942
Monty Python's Flying Circus,SHOW,1969,30,['comedy'; 'european'],4,8.8,72895
Dirty Harry,MOVIE,1971,102,['thriller'; 'crime'; 'action'],0,7.7,153463
My Fair Lady,MOVIE,1964,170,['drama'; 'music'; 'romance'; 'family'],0,7.8,94121
The Blue Lagoon,MOVIE,1980,104,['romance'; 'drama'],0,5.8,69053
Bonnie and Clyde,MOVIE,1967,110,['drama'; 'crime'; 'action'],0,7.7,111189
The Professionals,MOVIE,1966,117,['western'; 'action'; 'european'],0,7.3,16168
The Guns of Navarone,MOVIE,1961,158,['war'; 'action'; 'drama'],0,7.5,50150
Lupin the Third: The Castle of Cagliostro,MOVIE,1979,100,['comedy'; 'animation'; 'action'; 'fantasy'; 'family'],0,7.6,30277
Richard Pryor: Live in Concert,MOVIE,1979,78,['comedy'; 'documentation'],0,8.1,5141
The Long Riders,MOVIE,1980,99,['western'; 'crime'],0,6.9,11329
White Christmas,MOVIE,1954,115,['romance'; 'comedy'; 'music'],0,7.5,42373
Cairo Station,MOVIE,1958,77,['drama'; 'crime'; 'comedy'],0,7.5,4385
The Queen,MOVIE,1968,68,['documentation'],0,7.2,1117
Hitler: A Career,MOVIE,1977,150,['documentation'; 'history'; 'european'],0,7.5,2416
FTA,MOVIE,1972,97,['comedy'; 'documentation'; 'music'],0,6.2,411
Saladin the Victorious,MOVIE,1963,186,['drama'; 'war'; 'action'; 'history'; 'romance'],0,7.6,2470
Singapore,MOVIE,1960,158,['drama'; 'thriller'; 'crime'],0,6.4,82
Dark Waters,MOVIE,1956,120,['drama'; 'action'; 'romance'; 'thriller'],0,6.7,590
Alexandria… Why?,MOVIE,1979,133,['drama'],0,7.2,1689
Raya and Sakina,MOVIE,1953,105,['drama'; 'thriller'; 'crime'; 'history'],0,6.8,231
No Longer Kids,MOVIE,1979,235,['comedy'; 'drama'],0,9,943
Amrapali,MOVIE,1966,120,['fantasy'],0,6.7,225
Dostana,MOVIE,1980,161,['drama'; 'comedy'; 'romance'; 'action'; 'crime'],0,2.1,25
The Blazing Sun,MOVIE,1954,100,['romance'; 'crime'; 'drama'],0,7.4,1219
Monty Python's Fliegender Zirkus,SHOW,1972,43,['comedy'],1,8.1,2144
The Return of the Prodigal Son,MOVIE,1976,124,['drama'; 'crime'],0,7.2,768
Prince,MOVIE,1969,152,['romance'],0,6.9,168
Lock Your Girls In,MOVIE,1980,230,['comedy'],0,0,0
The Witness Who Didn't See Anything,MOVIE,1976,217,['comedy'],0,0,0
The School of Mischief,MOVIE,1973,251,['comedy'],0,0,0
Manoranjan,MOVIE,1974,162,['comedy'; 'drama'; 'romance'],0,6.5,236
We Are All for the Fatherland,MOVIE,1979,74,['documentation'],0,6.2,43
Whispers,MOVIE,1980,93,['documentation'],0,7.8,75
Lal Patthar,MOVIE,1971,153,['drama'],0,6.2,137
Ujala,MOVIE,1959,142,['romance'; 'crime'; 'drama'],0,6.7,78
Alibaba Aur 40 Chor,MOVIE,1979,138,['drama'; 'action'; 'romance'; 'family'; 'fantasy'],0,6.2,555
Professor,MOVIE,1962,163,['romance'; 'comedy'; 'drama'],0,6.8,285
Chadi Jawani Budhe Nu,MOVIE,1976,135,['romance'],0,4.6,14
Bandie,MOVIE,1978,141,['drama'; 'romance'; 'action'],0,4.2,35
Khoon Khoon,MOVIE,1973,131,['drama'; 'crime'; 'thriller'],0,5.1,41
Top Gun,MOVIE,1986,110,['drama'; 'action'],0,6.9,329656
Seinfeld,SHOW,1989,24,['comedy'],9,8.9,302700
Stand by Me,MOVIE,1986,89,['drama'],0,8.1,392790
Once Upon a Time in America,MOVIE,1984,229,['drama'; 'crime'; 'european'],0,8.3,342335
When Harry Met Sally...,MOVIE,1989,96,['romance'; 'comedy'; 'drama'],0,7.7,212913
Teenage Mutant Ninja Turtles,MOVIE,1990,93,['scifi'; 'action'; 'comedy'; 'family'],0,6.7,92647
Full Metal Jacket,MOVIE,1987,116,['drama'; 'war'],0,8.3,723306
Christine,MOVIE,1983,90,['horror'; 'thriller'; 'european'],0,6.7,80945
A Nightmare on Elm Street,MOVIE,1984,91,['horror'],0,7.4,230543
Knight Rider,SHOW,1982,51,['action'; 'scifi'; 'crime'; 'drama'],4,6.9,33760
Awakenings,MOVIE,1990,120,['drama'; 'european'],0,7.8,137549
Thomas & Friends,SHOW,1984,10,['family'; 'comedy'; 'music'; 'action'; 'animation'; 'fantasy'; 'drama'],24,6.5,4948
Annie,MOVIE,1982,127,['drama'; 'family'; 'comedy'],0,6.6,44866
Pet Sematary,MOVIE,1989,103,['horror'; 'fantasy'; 'thriller'],0,6.5,102212
Saved by the Bell,SHOW,1989,23,['comedy'; 'romance'; 'family'],5,7.1,34854
She's Gotta Have It,MOVIE,1986,84,['comedy'; 'romance'],0,6.7,14277
Eddie Murphy Raw,MOVIE,1987,93,['comedy'; 'documentation'],0,7.6,19646
Endless Love,MOVIE,1981,116,['drama'; 'romance'],0,4.9,8374
Wheel of Fortune,SHOW,1983,26,['family'],39,6.7,3126
Major Dad,SHOW,1989,24,['comedy'; 'family'],4,6.4,2866
Fireman Sam,SHOW,1987,10,['comedy'; 'animation'; 'family'; 'crime'; 'european'],13,6.1,1759
Danger Mouse,SHOW,1981,15,['comedy'; 'family'; 'scifi'; 'animation'; 'european'],10,7.4,3514
Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,133,['scifi'; 'drama'; 'war'; 'animation'; 'action'],0,7.2,1242
Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,120,['scifi'; 'animation'; 'action'; 'drama'; 'war'],0,7.3,1649
Sam Kinison: Breaking the Rules,MOVIE,1987,50,['comedy'; 'documentation'],0,7.2,651
Tim Allen: Men Are Pigs,MOVIE,1990,30,['comedy'; 'documentation'],0,6,353
Monty Python Live at the Hollywood Bowl,MOVIE,1982,77,['comedy'; 'documentation'],0,7.9,15186
The George McKenna Story,MOVIE,1988,100,['drama'],0,6,901
Unspeakable Acts,MOVIE,1990,100,['drama'],0,6,448
Waiting for the Hearse,MOVIE,1985,87,['comedy'],0,8,6285
Mobile Suit Gundam III: Encounters in Space,MOVIE,1982,144,['animation'; 'action'; 'drama'; 'scifi'; 'war'],0,7.7,1210
Agneepath,MOVIE,1990,174,['action'; 'crime'; 'drama'],0,7.6,8902
Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,72,['comedy'],0,8.1,1522
Too Young The Hero,MOVIE,1988,100,['drama'; 'war'],0,6.7,494
Adam: His Song Continues,MOVIE,1986,100,['crime'; 'drama'],0,7,209
Disco Dancer,MOVIE,1982,134,['drama'; 'romance'],0,6.5,1449
The Ryan White Story,MOVIE,1989,102,['drama'],0,7.2,857
In Defense of a Married Man,MOVIE,1990,94,['drama'; 'crime'],0,5.6,200
Dil,MOVIE,1990,172,['romance'; 'comedy'; 'drama'],0,6.6,5273
Bye Bye London,MOVIE,1982,170,['comedy'; 'drama'],0,8.7,154
Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,100,['drama'],0,7.1,144
Strange Voices,MOVIE,1987,100,['drama'],0,6.3,357
Aakhri Adaalat,MOVIE,1988,148,['action'; 'crime'; 'thriller'],0,5.1,92
A Stoning in Fulham County,MOVIE,1988,120,['crime'; 'drama'; 'thriller'],0,5.8,380
The Married Couples,MOVIE,1981,194,['drama'],0,0,0
Sayed The Servant,MOVIE,1985,166,['comedy'],0,0,0
Muqaddar Ka Faisla,MOVIE,1987,172,['comedy'; 'drama'; 'family'; 'action'],0,4.8,68
Sohni Mahiwal,MOVIE,1984,160,['romance'; 'action'; 'drama'],0,6.1,297
The Little Wars,MOVIE,1982,108,['drama'; 'war'; 'european'],0,6.3,149
Bill Hicks: Sane Man,MOVIE,1989,81,['comedy'],0,0,0
Duniya,MOVIE,1984,170,['drama'; 'action'],0,6.2,241
Pyar Ke Do Pal,MOVIE,1986,153,['drama'; 'action'],0,6.1,65
Jaal,MOVIE,1986,159,['drama'; 'thriller'; 'action'],0,5.2,122
Mujrim,MOVIE,1989,162,['drama'; 'action'; 'crime'],0,5.4,188
An Egyptian Story,MOVIE,1982,129,['fantasy'; 'drama'],0,7.3,1113
Ek Jaan Hain Hum,MOVIE,1983,151,['family'; 'romance'],0,6.3,70
The Quick and the Dead,MOVIE,1995,107,['western'; 'thriller'; 'action'; 'romance'],0,6.5,92224
Survivor,SHOW,2000,48,['reality'],42,7.4,24368
Stargate SG-1,SHOW,1997,44,['scifi'; 'drama'; 'action'],10,8.4,90196
Pokémon,SHOW,1997,22,['scifi'; 'action'; 'comedy'; 'fantasy'; 'animation'; 'family'],24,7.6,172
Forrest Gump,MOVIE,1994,142,['drama'; 'romance'; 'comedy'],0,8.8,1994599
Happy Gilmore,MOVIE,1996,92,['comedy'; 'sport'],0,7,217534
One Piece,SHOW,1999,23,['action'; 'comedy'; 'animation'; 'drama'; 'fantasy'],21,8.8,112586
Saving Private Ryan,MOVIE,1998,169,['drama'; 'war'],0,8.6,1346020
Cowboy Bebop,SHOW,1998,25,['western'; 'action'; 'scifi'; 'thriller'; 'animation'; 'comedy'; 'drama'],1,8.9,112887
Star Trek: Deep Space Nine,SHOW,1993,47,['scifi'; 'action'; 'drama'],7,8.1,61145
The Challenge,SHOW,1998,40,['reality'; 'comedy'; 'drama'; 'scifi'],37,7.8,3274
Gattaca,MOVIE,1997,106,['thriller'; 'drama'; 'scifi'],0,7.8,298168
Gilmore Girls,SHOW,2000,46,['comedy'; 'drama'],8,8.2,119054
Blade,MOVIE,1998,120,['action'; 'scifi'; 'horror'],0,7.1,267181
You've Got Mail,MOVIE,1998,119,['romance'; 'drama'; 'comedy'],0,6.7,209258
Starship Troopers,MOVIE,1997,129,['scifi'; 'thriller'; 'action'],0,7.3,288960
Neon Genesis Evangelion,SHOW,1995,24,['scifi'; 'action'; 'drama'; 'thriller'; 'fantasy'; 'animation'],1,8.5,64727
The Magic School Bus,SHOW,1994,26,['scifi'; 'comedy'; 'family'; 'fantasy'; 'animation'],4,7.8,9708
Donnie Brasco,MOVIE,1997,127,['thriller'; 'drama'; 'crime'],0,7.7,300073
Power Rangers,SHOW,1993,22,['scifi'; 'action'; 'fantasy'; 'family'],29,6.5,21949
U.S. Marshals,MOVIE,1998,126,['thriller'; 'crime'; 'action'],0,6.5,103263
Adventures of Sonic the Hedgehog,SHOW,1993,22,['action'; 'animation'; 'scifi'; 'western'; 'fantasy'; 'comedy'; 'family'],4,6.2,3808
Wild Things,MOVIE,1998,108,['drama'; 'thriller'; 'crime'; 'european'],0,6.6,118811
Last Action Hero,MOVIE,1993,130,['comedy'; 'action'; 'fantasy'],0,6.4,149290
Seven Years in Tibet,MOVIE,1997,136,['drama'; 'history'; 'war'],0,7.1,141308
The Devil's Advocate,MOVIE,1997,144,['horror'; 'thriller'; 'drama'],0,7.5,361422
A River Runs Through It,MOVIE,1992,123,['drama'],0,7.2,59086
Goosebumps,SHOW,1995,22,['scifi'; 'fantasy'; 'horror'; 'thriller'; 'family'; 'music'],4,7.6,13361
Yu-Gi-Oh!,SHOW,1998,22,['scifi'; 'action'; 'family'; 'fantasy'; 'animation'; 'comedy'; 'drama'],7,7.2,20888
InuYasha,SHOW,2000,25,['action'; 'comedy'; 'scifi'; 'animation'; 'drama'; 'fantasy'; 'romance'],9,7.9,15823
Any Given Sunday,MOVIE,1999,162,['drama'; 'sport'],0,6.9,118479
Menace II Society,MOVIE,1993,97,['drama'; 'crime'; 'thriller'],0,7.5,57399
Desperado,MOVIE,1995,104,['thriller'; 'action'; 'crime'; 'western'; 'european'],0,7.1,183638
The Mask of Zorro,MOVIE,1998,136,['action'; 'thriller'; 'western'; 'comedy'; 'romance'],0,6.8,181306
The Patriot,MOVIE,2000,165,['drama'; 'action'; 'history'; 'war'],0,7.2,270231
Road Trip,MOVIE,2000,93,['comedy'],0,6.5,167670
Free Willy,MOVIE,1993,112,['drama'; 'family'],0,6,75244
My First Errand,SHOW,1991,19,['reality'],12,0,0
3 Ninjas Kick Back,MOVIE,1994,93,['action'; 'comedy'; 'family'; 'sport'],0,4.5,9208
In the Line of Fire,MOVIE,1993,128,['drama'; 'thriller'; 'action'; 'crime'],0,7.2,101939
The Replacements,MOVIE,2000,118,['comedy'; 'sport'],0,6.6,64087
Johnny Mnemonic,MOVIE,1995,97,['scifi'; 'thriller'; 'action'; 'drama'],0,5.6,71062
Little Women,MOVIE,1994,115,['drama'; 'family'; 'romance'],0,7.3,57621
Anaconda,MOVIE,1997,89,['thriller'; 'horror'; 'action'],0,4.8,103459
My Girl,MOVIE,1991,103,['comedy'; 'drama'; 'family'; 'romance'; 'european'],0,6.9,79800
Cliffhanger,MOVIE,1993,112,['thriller'; 'action'; 'animation'],0,6.5,128179
I Know What You Did Last Summer,MOVIE,1997,101,['horror'; 'thriller'],0,5.7,142696
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,MOVIE,1991,88,['scifi'; 'action'; 'comedy'; 'family'],0,6,55499
Hollow Man,MOVIE,2000,112,['scifi'; 'action'; 'horror'; 'thriller'],0,5.8,130099
Godzilla,MOVIE,1998,133,['thriller'; 'scifi'; 'action'],0,5.4,191722
Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,87,['scifi'; 'action'; 'drama'; 'fantasy'; 'animation'],0,8,51938
Spawn,MOVIE,1997,96,['fantasy'; 'horror'; 'scifi'; 'thriller'; 'action'; 'drama'],0,5.2,67761
Dennis the Menace,MOVIE,1993,95,['comedy'; 'family'],0,5.6,60779
The Net,MOVIE,1995,114,['thriller'; 'action'; 'crime'; 'drama'],0,5.9,66127
The Devil's Own,MOVIE,1997,107,['thriller'; 'drama'; 'action'; 'crime'; 'european'],0,6.2,64625
Croupier,MOVIE,1998,94,['thriller'; 'european'; 'crime'; 'drama'],0,7,21382
Teenage Mutant Ninja Turtles III,MOVIE,1993,96,['fantasy'; 'scifi'; 'action'; 'comedy'; 'family'],0,4.7,33128
The General's Daughter,MOVIE,1999,116,['drama'; 'crime'; 'thriller'],0,6.4,58726
The Next Karate Kid,MOVIE,1994,107,['drama'; 'family'; 'romance'; 'sport'; 'action'],0,4.5,30138
I Still Know What You Did Last Summer,MOVIE,1998,100,['thriller'; 'horror'],0,4.7,73269
Double Team,MOVIE,1997,93,['scifi'; 'action'; 'comedy'; 'thriller'],0,4.7,34127
Under Suspicion,MOVIE,2000,110,['thriller'; 'crime'; 'drama'; 'european'],0,6.5,25432
Moesha,SHOW,1996,21,['drama'; 'comedy'; 'family'],6,5.7,3713
Cardcaptor Sakura,SHOW,1998,25,['scifi'; 'comedy'; 'drama'; 'family'; 'fantasy'; 'romance'; 'animation'; 'action'],4,8,4936
Geronimo: An American Legend,MOVIE,1993,115,['western'; 'drama'; 'history'],0,6.5,11506
The Mirror Has Two Faces,MOVIE,1996,126,['romance'; 'comedy'; 'drama'],0,6.6,19829
Bill Hicks: One Night Stand,MOVIE,1991,30,['comedy'],0,0,0
Knight Rider 2000,MOVIE,1991,91,['action'; 'scifi'],0,4.5,3178
The Last Days,MOVIE,1998,87,['drama'; 'documentation'; 'war'],0,7.9,4247
The Parkers,SHOW,1999,19,['comedy'],5,6.8,2346
Heavy,MOVIE,1995,105,['romance'; 'drama'],0,6.8,4921
Bill Hicks: Revelations,MOVIE,1993,74,['comedy'; 'documentation'],0,8.5,3085
Sankofa,MOVIE,1993,124,['drama'; 'european'],0,7,678
Bill Hicks: Relentless,MOVIE,1992,61,['comedy'],0,0,0
Dale's Supermarket Sweep,SHOW,1993,21,['unknown'],8,7.1,39
Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,75,['comedy'; 'documentation'],0,7.9,5834
Children of God,MOVIE,1994,63,['documentation'],0,6.4,589
Wild Tango,MOVIE,1993,124,['drama'; 'music'; 'romance'],0,6.7,1564
Kuch Kuch Hota Hai,MOVIE,1998,185,['drama'; 'romance'; 'comedy'],0,7.6,51640
Oggy and the Cockroaches,SHOW,1999,9,['comedy'; 'family'; 'action'; 'animation'; 'european'],7,7.4,4185
Herod's Law,MOVIE,1999,120,['drama'; 'comedy'; 'crime'],0,7.8,5943
Tim Allen: Rewires America,MOVIE,1991,30,['comedy'; 'documentation'],0,5.9,195
Heartbreak High,SHOW,1994,47,['drama'; 'romance'; 'comedy'],7,7.8,3106
Dil Se..,MOVIE,1998,163,['drama'; 'romance'],0,7.5,28409
Escalona,SHOW,1991,44,['drama'],1,0,0
Aashik Aawara,MOVIE,1993,153,['romance'; 'comedy'; 'drama'],0,4.7,320
Destiny,MOVIE,1997,136,['drama'; 'romance'; 'comedy'; 'history'],0,7.1,2825
Oh Darling! Yeh Hai India!,MOVIE,1995,153,['comedy'],0,4,1678
A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,100,['drama'; 'sport'],0,7.2,248
Bombay,MOVIE,1995,141,['romance'; 'drama'],0,8.1,12512
West Beirut,MOVIE,1998,105,['romance'; 'war'; 'comedy'; 'drama'; 'european'],0,7.6,4175
Muthu,MOVIE,1995,165,['drama'; 'comedy'; 'romance'; 'action'],0,7.6,3056
Qila,MOVIE,1998,160,['drama'; 'music'; 'family'],0,4.8,129
Ram Jaane,MOVIE,1995,172,['action'; 'drama'; 'romance'; 'crime'],0,5.4,3901
Chamatkar,MOVIE,1992,171,['comedy'; 'fantasy'; 'drama'; 'crime'],0,6.5,6199
Soldier,MOVIE,1998,156,['thriller'; 'action'; 'drama'; 'romance'],0,6.2,3025
Okupas,SHOW,2000,40,['crime'; 'drama'],1,9,2326
Hum Saath Saath Hain,MOVIE,1999,177,['fantasy'; 'romance'; 'family'; 'drama'],0,6.2,8454
Kabhi Haan Kabhi Naa,MOVIE,1994,158,['comedy'; 'drama'; 'music'; 'romance'],0,7.6,18224
Nightmare in Columbia County,MOVIE,1991,100,['drama'; 'crime'; 'thriller'],0,5.5,341
Phir Bhi Dil Hai Hindustani,MOVIE,2000,160,['comedy'; 'romance'; 'drama'],0,6.1,7556
Sam Kinison: Family Entertainment Hour,MOVIE,1991,49,['comedy'],0,0,0
Jeans,MOVIE,1998,175,['drama'; 'romance'; 'comedy'],0,6.4,3567
Chaahat,MOVIE,1996,155,['drama'; 'romance'],0,5.5,2837
Hum Aapke Hain Koun..!,MOVIE,1994,206,['romance'; 'comedy'; 'drama'],0,7.5,20986
Maya Memsaab,MOVIE,1993,126,['romance'; 'drama'; 'thriller'],0,5.4,2177
Out of Life,MOVIE,1991,97,['war'; 'drama'; 'crime'; 'european'],0,6.9,365
Duplicate,MOVIE,1998,165,['comedy'; 'action'; 'crime'; 'thriller'],0,5.5,7557
Govindha Govindha,MOVIE,1993,145,['drama'; 'action'; 'crime'],0,6.6,351
Damini,MOVIE,1993,180,['drama'; 'crime'],0,7.8,3490
English Babu Desi Mem,MOVIE,1996,172,['romance'; 'comedy'; 'drama'],0,4.5,2322
Before the Flying Circus,MOVIE,2000,55,['comedy'; 'documentation'],0,7.3,161
Sam Kinison: Live in Vegas,MOVIE,1991,72,['comedy'; 'music'; 'documentation'],0,6.6,272
Anjaam,MOVIE,1994,146,['thriller'; 'romance'; 'drama'],0,6.6,6465
Mann,MOVIE,1999,174,['drama'; 'romance'],0,6.1,5413
Monty Python: Live at Aspen,MOVIE,1998,58,['comedy'; 'documentation'],0,7.8,1092
Sinbad: Afros and Bellbottoms,MOVIE,1993,59,['comedy'; 'documentation'],0,7.8,166
The Other,MOVIE,1999,106,['drama'; 'european'; 'romance'],0,5.9,987
Sinbad: Son of a Preacher Man,MOVIE,1996,56,['comedy'; 'documentation'],0,6.7,115
Children of Shatila,MOVIE,1999,50,['documentation'; 'history'],0,8.2,74
Gumrah,MOVIE,1993,149,['action'; 'crime'; 'drama'; 'thriller'],0,6.1,784
The Emigrant,MOVIE,1994,129,['drama'],0,6.5,998
Yodha,MOVIE,1991,142,['drama'; 'action'],0,4.5,198
Avvai Shanmugi,MOVIE,1996,160,['drama'; 'comedy'],0,7.9,2528
Minsara Kanavu,MOVIE,1997,145,['comedy'; 'drama'; 'romance'],0,6.7,1212
Chronicle of a Disappearance,MOVIE,1996,88,['drama'],0,6.9,718
Yaar Gaddar,MOVIE,1994,147,['crime'; 'action'; 'drama'],0,3.6,142
Sinbad: Nothin' but the Funk,MOVIE,1998,55,['comedy'; 'documentation'],0,6.2,65
Dushmani,MOVIE,1995,156,['romance'; 'action'; 'drama'],0,5,248
Fiza,MOVIE,2000,170,['drama'; 'romance'; 'action'; 'crime'],0,6,4168
Hello Brother,MOVIE,1999,131,['romance'; 'action'; 'comedy'; 'fantasy'],0,4.6,4230
Have You Ever Seen Fireflies? - Theatre Play,MOVIE,1999,118,['drama'; 'comedy'],0,0,0
Shikari,MOVIE,1991,162,['drama'; 'action'],0,5.9,66
One Last Shot,MOVIE,1998,30,['unknown'],0,0,0
Breaking Bad,SHOW,2008,48,['drama'; 'thriller'; 'crime'],5,9.5,1727694
The Walking Dead,SHOW,2010,46,['action'; 'drama'; 'scifi'; 'thriller'; 'horror'],11,8.2,945125
The Staircase,SHOW,2004,49,['crime'; 'documentation'; 'drama'],2,7.8,21531
Downton Abbey,SHOW,2010,58,['drama'; 'romance'; 'european'],6,8.7,197744
Grey's Anatomy,SHOW,2005,49,['drama'; 'romance'],18,7.6,293618
The Great British Baking Show,SHOW,2010,57,['reality'; 'european'],12,8.6,9564
Criminal Minds,SHOW,2005,44,['thriller'; 'crime'; 'drama'],15,8.1,189191
NCIS,SHOW,2003,44,['action'; 'drama'; 'crime'; 'thriller'; 'comedy'],19,7.8,141049
Community,SHOW,2009,23,['comedy'],6,8.5,252564
Heartland,SHOW,2007,44,['drama'; 'family'],15,8.4,15743
Supernatural,SHOW,2005,45,['scifi'; 'thriller'; 'drama'; 'fantasy'; 'horror'],15,8.5,428639
Forgetting Sarah Marshall,MOVIE,2008,111,['comedy'; 'drama'; 'romance'],0,7.1,280121
War of the Worlds,MOVIE,2005,117,['thriller'; 'action'; 'scifi'],0,6.5,439027
Arrested Development,SHOW,2003,28,['comedy'],5,8.7,297552
The IT Crowd,SHOW,2006,25,['comedy'; 'european'],5,8.5,147409
30 Rock,SHOW,2006,25,['comedy'; 'sport'],7,8.3,121514
Avatar: The Last Airbender,SHOW,2005,24,['scifi'; 'family'; 'fantasy'; 'animation'; 'action'],3,9.3,297336
Inception,MOVIE,2010,148,['scifi'; 'music'; 'thriller'; 'action'],0,8.8,2268288
The Other Guys,MOVIE,2010,107,['crime'; 'action'; 'comedy'],0,6.6,263019
How to Train Your Dragon,MOVIE,2010,98,['fantasy'; 'animation'; 'action'; 'comedy'; 'family'; 'drama'],0,8.1,719717
Friday Night Lights,SHOW,2006,43,['drama'; 'sport'],5,8.7,64449
Casino Royale,MOVIE,2006,139,['thriller'; 'action'; 'european'],0,8,644336
Michael Clayton,MOVIE,2007,120,['thriller'; 'crime'; 'drama'],0,7.2,163878
My Little Pony: Friendship Is Magic,SHOW,2010,22,['scifi'; 'animation'; 'drama'; 'fantasy'; 'music'; 'comedy'; 'family'],9,7.6,20708
The Fairly OddParents,SHOW,2001,24,['scifi'; 'family'; 'fantasy'; 'animation'; 'comedy'],10,7.2,38046
Jackass: The Movie,MOVIE,2002,88,['action'; 'comedy'; 'documentation'],0,6.6,92305
Sonic X,SHOW,2003,21,['action'; 'drama'; 'thriller'; 'animation'; 'comedy'; 'fantasy'; 'family'; 'scifi'],3,6.1,4577
DEATH NOTE,SHOW,2006,24,['scifi'; 'animation'; 'crime'; 'drama'; 'fantasy'; 'thriller'],1,9,302147
Zoolander,MOVIE,2001,90,['comedy'; 'european'],0,6.5,260975
The Vampire Diaries,SHOW,2009,42,['scifi'; 'drama'; 'thriller'; 'fantasy'; 'horror'; 'romance'],8,7.7,310776
Charlie and the Chocolate Factory,MOVIE,2005,106,['fantasy'; 'comedy'; 'family'],0,6.6,465995
Cleaner,MOVIE,2007,88,['thriller'; 'crime'],0,6.1,41052
Harold & Kumar Go to White Castle,MOVIE,2004,88,['comedy'],0,7,193053
The Social Network,MOVIE,2010,121,['drama'],0,7.8,681286
Road to Perdition,MOVIE,2002,117,['thriller'; 'documentation'; 'crime'; 'drama'],0,7.7,263212
Naruto,SHOW,2002,23,['scifi'; 'comedy'; 'animation'; 'action'; 'fantasy'; 'thriller'],6,8.4,93980
Blow,MOVIE,2001,124,['drama'; 'crime'],0,7.5,255099
Shooter,MOVIE,2007,124,['thriller'; 'action'; 'drama'],0,7.2,329417
Big Fish,MOVIE,2003,125,['drama'; 'fantasy'; 'romance'],0,8,435503
The Bourne Ultimatum,MOVIE,2007,115,['thriller'; 'action'],0,8,627009
Public Enemies,MOVIE,2009,143,['crime'; 'drama'; 'history'; 'action'; 'european'],0,7,297525
America's Next Top Model,SHOW,2003,44,['reality'],24,5.6,17843
Sherlock Holmes,MOVIE,2009,129,['crime'; 'action'; 'thriller'],0,7.6,620154
Love Actually,MOVIE,2003,139,['drama'; 'comedy'; 'romance'],0,7.6,474176
Closer,MOVIE,2004,94,['drama'; 'romance'],0,7.2,215678
Chappelle's Show,SHOW,2003,21,['comedy'; 'music'],3,8.8,62140
Something's Gotta Give,MOVIE,2003,128,['romance'; 'drama'; 'comedy'],0,6.7,120400
Grown Ups,MOVIE,2010,102,['comedy'; 'drama'; 'european'],0,5.9,247229
The Blind Side,MOVIE,2009,129,['drama'; 'sport'],0,7.6,323939
Quantum of Solace,MOVIE,2008,106,['thriller'; 'action'],0,6.6,441023
The Ring,MOVIE,2002,111,['horror'; 'european'],0,7.1,341888
Trailer Park Boys,SHOW,2001,25,['comedy'; 'crime'],12,8.6,41791
Into the Wild,MOVIE,2007,140,['drama'],0,8.1,611379
True Grit,MOVIE,2010,110,['western'; 'drama'],0,7.6,333378
Blade Runner: The Final Cut,MOVIE,2007,117,['action'; 'thriller'; 'scifi'],0,0,0
Rambo,MOVIE,2008,92,['thriller'; 'action'; 'war'; 'european'],0,7,228799
Stardust,MOVIE,2007,122,['fantasy'; 'romance'; 'family'],0,7.6,269043
Borgen,SHOW,2010,58,['drama'; 'european'],4,8.5,23523
The Last Samurai,MOVIE,2003,154,['drama'; 'history'; 'war'; 'action'],0,7.8,429097
iCarly,SHOW,2007,26,['comedy'; 'family'; 'romance'],6,6.7,38281
Victorious,SHOW,2010,25,['comedy'; 'drama'; 'family'; 'music'; 'romance'; 'sport'],4,6.9,24224
The Book of Eli,MOVIE,2010,118,['thriller'; 'action'; 'drama'; 'european'],0,6.8,312538
Identity,MOVIE,2003,90,['thriller'],0,7.3,240433
Merlin,SHOW,2008,44,['action'; 'scifi'; 'drama'; 'fantasy'; 'european'],5,7.9,80138
Apocalypse Now Redux,MOVIE,2001,196,['drama'; 'war'; 'thriller'; 'horror'],0,0,0
Shrek Forever After,MOVIE,2010,93,['fantasy'; 'comedy'; 'family'; 'romance'; 'animation'],0,6.3,200354
Hairspray,MOVIE,2007,117,['comedy'; 'drama'; 'romance'],0,6.7,128190
Corpse Bride,MOVIE,2005,77,['fantasy'; 'romance'; 'animation'; 'drama'; 'family'],0,7.3,265023
Let Me In,MOVIE,2010,116,['horror'; 'drama'; 'fantasy'; 'thriller'; 'european'],0,7.1,120208
Monster,MOVIE,2003,110,['crime'; 'drama'; 'thriller'; 'european'],0,7.3,149218
Without a Paddle,MOVIE,2004,95,['thriller'; 'comedy'],0,5.8,47049
